Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19  20-29,30-39,over,Total,Under 18,18-19  20-29,30-39,over
Total...........................................,"308,860","19,656","17,714 112,334","83,739","75,417",100.0,6.4,5.7 36.4,27.1,24.4
Violent offenses.......................,"108,977","7,128","6,139 38,542","28,728","28,440",100.0,6.5,5.6 35.4,26.4,26.1
Homicide..............................,"1,440",91,152 593,325,279,100.0,6.3,10.6 41.2,22.6,19.4
Rape.....................................,"2,558",273,159 753,609,764,100.0,10.7,6.2 29.4,23.8,29.9
Robbery................................,"15,892","2,604","1,942 6,061","3,093","2,192",100.0,16.4,12.2 38.1,19.5,13.8
Assault..................................,"87,415","4,077","3,773 30,449","24,228","24,888",100.0,4.7,4.3 34.8,27.7,28.5
Kidnapping...........................,"1,672",83,113 686,473,317,100.0,5.0,6.8 41.0,28.3,19.0
Property offenses....................,"75,506","5,866","5,100 29,351","21,090","14,099",100.0,7.8,6.8 38.9,27.9,18.7
Burglary................................,"23,209","2,801","2,070 8,720","5,629","3,989",100.0,12.1,8.9 37.6,24.3,17.2
Theft.....................................,"27,643","1,329","1,491 10,836","8,295","5,692",100.0,4.8,5.4 39.2,30.0,20.6
Motor vehicle theft................,"18,344","1,460","1,301 7,678","5,011","2,894",100.0,8.0,7.1 41.9,27.3,15.8
"Forgery, checks, access",,,,,,,,,,
cards....................................,"5,166",68,"207 1,840","1,868","1,183",100.0,1.3,4.0 35.6,36.2,22.9
Arson....................................,"1,144",208,31 277,287,341,100.0,18.2,2.7 24.2,25.1,29.8
Drug offenses..........................,"38,988","1,333","1,595 13,219","11,105","11,736",100.0,3.4,4.1 33.9,28.5,30.1
Narcotics..............................,"10,228",267,"368 3,915","2,654","3,024",100.0,2.6,3.6 38.3,25.9,29.6
Marijuana..............................,"7,949",695,"608 3,084","1,825","1,737",100.0,8.7,7.6 38.8,23.0,21.9
Dangerous drugs..................,"19,518",365,"574 5,714","6,241","6,624",100.0,1.9,2.9 29.3,32.0,33.9
Other....................................,"1,293",6,45 506,385,351,100.0,0.5,3.5 39.1,29.8,27.1
Sex offenses............................,"5,347",629,"219 1,177","1,176","2,146",100.0,11.8,4.1 22.0,22.0,40.1
Lewd or lascivious................,"2,165",354,77 433,510,791,100.0,16.4,3.6 20.0,23.6,36.5
Other....................................,"3,182",275,142 744,666,"1,355",100.0,8.6,4.5 23.4,20.9,42.6
Driving offenses.......................,"6,542",74,"275 2,722","1,620","1,851",100.0,1.1,4.2 41.6,24.8,28.3
Driving under the influence...,"5,228",34,"196 2,148","1,317","1,533",100.0,0.7,3.7 41.1,25.2,29.3
Hit-and-run...........................,"1,314",40,79 574,303,318,100.0,3.0,6.0 43.7,23.1,24.2
All other...................................,"73,500","4,626","4,386 27,323","20,020","17,145",100.0,6.3,6.0 37.2,27.2,23.3
Weapons..............................,"21,480","1,974","1,819 8,393","5,354","3,940",100.0,9.2,8.5 39.1,24.9,18.3
Escape.................................,243,7,12 92,83,49,100.0,2.9,4.9 37.9,34.2,20.2
Other....................................,"51,777","2,645","2,555 18,838","14,583","13,156",100.0,5.1,4.9 36.4,28.2,25.4
