Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total...........................................,"439,958","27,651","27,065 157,158","112,315","115,769",100.0,6.3,6.2 35.7,25.5,26.3
Violent offenses.......................,"107,791","8,024","6,853 38,875","26,535","27,504",100.0,7.4,6.4 36.1,24.6,25.5
Homicide..............................,"1,427",95,178 629,278,247,100.0,6.7,12.5 44.1,19.5,17.3
Rape.....................................,"2,444",275,182 749,562,676,100.0,11.3,7.4 30.6,23.0,27.7
Robbery................................,"14,799","2,737","2,118 5,759","2,427","1,758",100.0,18.5,14.3 38.9,16.4,11.9
Assault..................................,"87,735","4,850","4,275 31,157","22,908","24,545",100.0,5.5,4.9 35.5,26.1,28.0
Kidnapping...........................,"1,386",67,100 581,360,278,100.0,4.8,7.2 41.9,26.0,20.1
Property offenses....................,"97,806","10,134","8,050 35,277","23,798","20,547",100.0,10.4,8.2 36.1,24.3,21.0
Burglary................................,"45,112","6,520","4,459 16,096","9,576","8,461",100.0,14.5,9.9 35.7,21.2,18.8
Theft.....................................,"32,308","1,962","2,047 11,368","8,634","8,297",100.0,6.1,6.3 35.2,26.7,25.7
Motor vehicle theft................,"13,629","1,340","1,242 5,416","3,474","2,157",100.0,9.8,9.1 39.7,25.5,15.8
"Forgery, checks, access",,,,,,,,,,
cards....................................,"5,860",94,"261 2,178","1,936","1,391",100.0,1.6,4.5 37.2,33.0,23.7
Arson....................................,897,218,41 219,178,241,100.0,24.3,4.6 24.4,19.8,26.9
Drug offenses..........................,"137,054","3,058","6,177 48,405","37,207","42,207",100.0,2.2,4.5 35.3,27.1,30.8
Narcotics..............................,"36,476",601,"1,574 15,132","8,560","10,609",100.0,1.6,4.3 41.5,23.5,29.1
Marijuana..............................,"13,300","1,383","1,421 5,595","2,591","2,310",100.0,10.4,10.7 42.1,19.5,17.4
Dangerous drugs..................,"85,931","1,049","3,126 27,167","25,681","28,908",100.0,1.2,3.6 31.6,29.9,33.6
Other....................................,"1,347",25,56 511,375,380,100.0,1.9,4.2 37.9,27.8,28.2
Sex offenses............................,"5,982",726,"307 1,419","1,215","2,315",100.0,12.1,5.1 23.7,20.3,38.7
Lewd or lascivious................,"2,484",443,128 474,549,890,100.0,17.8,5.2 19.1,22.1,35.8
Other....................................,"3,498",283,179 945,666,"1,425",100.0,8.1,5.1 27.0,19.0,40.7
Driving offenses.......................,"6,068",63,"281 2,490","1,380","1,854",100.0,1.0,4.6 41.0,22.7,30.6
Driving under the influence...,"4,906",33,"195 2,005","1,152","1,521",100.0,0.7,4.0 40.9,23.5,31.0
Hit-and-run...........................,"1,162",30,86 485,228,333,100.0,2.6,7.4 41.7,19.6,28.7
All other...................................,"85,257","5,646","5,397 30,692","22,180","21,342",100.0,6.6,6.3 36.0,26.0,25.0
Weapons..............................,"19,067","2,403","1,885 7,370","4,195","3,214",100.0,12.6,9.9 38.7,22.0,16.9
Escape.................................,239,6,11 88,79,55,100.0,2.5,4.6 36.8,33.1,23.0
Other....................................,"65,951","3,237","3,501 23,234","17,906","18,073",100.0,4.9,5.3 35.2,27.2,27.4
