Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total............................................,"522,781","59,871","44,165 182,475","121,337","114,933",100.0,11.5,8.4 34.9,23.2,22.0
Violent offenses........................,"127,058","15,517","9,411 43,505","30,229","28,396",100.0,12.2,7.4 34.2,23.8,22.3
Homicide...............................,"1,978",185,289 854,313,337,100.0,9.4,14.6 43.2,15.8,17.0
Forcible rape.........................,"2,237",311,193 766,501,466,100.0,13.9,8.6 34.2,22.4,20.8
Robbery.................................,"17,864","4,861","2,659 5,877","2,540","1,927",100.0,27.2,14.9 32.9,14.2,10.8
Assault...................................,"103,184","10,055","6,081 35,239","26,446","25,363",100.0,9.7,5.9 34.2,25.6,24.6
Kidnapping............................,"1,795",105,189 769,429,303,100.0,5.8,10.5 42.8,23.9,16.9
Property offenses.....................,"148,913","25,407","16,450 53,107","30,098","23,851",100.0,17.1,11.0 35.7,20.2,16.0
Burglary.................................,"50,760","12,703","6,350 16,265","8,551","6,891",100.0,25.0,12.5 32.0,16.8,13.6
Theft......................................,"52,399","5,338","4,903 18,475","12,250","11,433",100.0,10.2,9.4 35.3,23.4,21.8
Motor vehicle theft.................,"30,731","6,074","4,023 12,289","5,425","2,920",100.0,19.8,13.1 40.0,17.7,9.5
"Forgery, checks, access",,,,,,,,,,
cards.....................................,"13,591",561,"1,102 5,835","3,691","2,402",100.0,4.1,8.1 42.9,27.2,17.7
Arson.....................................,"1,432",731,72 243,181,205,100.0,51.0,5.0 17.0,12.6,14.3
Drug offenses...........................,"150,305","5,868","10,159 52,296","40,080","41,902",100.0,3.9,6.8 34.8,26.7,27.9
Narcotics...............................,"52,474","1,565","2,832 14,803","13,216","20,058",100.0,3.0,5.4 28.2,25.2,38.2
Marijuana...............................,"13,106","1,811","1,789 5,659","2,198","1,649",100.0,13.8,13.7 43.2,16.8,12.6
Dangerous drugs...................,"82,418","2,443","5,463 31,078","23,942","19,492",100.0,3.0,6.6 37.7,29.0,23.7
Other.....................................,"2,307",49,75 756,724,703,100.0,2.1,3.3 32.8,31.4,30.5
Sex offenses.............................,"9,246","1,564","675 2,310","1,868","2,829",100.0,16.9,7.3 25.0,20.2,30.6
Lewd or lascivious.................,"3,902",911,257 778,834,"1,122",100.0,23.3,6.6 19.9,21.4,28.8
Other.....................................,"5,344",653,"418 1,532","1,034","1,707",100.0,12.2,7.8 28.7,19.3,31.9
Driving offenses........................,"7,389",201,"505 2,853","1,747","2,083",100.0,2.7,6.8 38.6,23.6,28.2
Driving under the influence....,"5,715",98,"337 2,160","1,412","1,708",100.0,1.7,5.9 37.8,24.7,29.9
Hit-and-run............................,"1,674",103,168 693,335,375,100.0,6.2,10.0 41.4,20.0,22.4
All other....................................,"79,870","11,314","6,965 28,404","17,315","15,872",100.0,14.2,8.7 35.6,21.7,19.9
Weapons...............................,"23,656","6,019","2,918 8,593","3,480","2,646",100.0,25.4,12.3 36.3,14.7,11.2
Escape..................................,448,26,43 196,120,63,100.0,5.8,9.6 43.8,26.8,14.1
Bookmaking...........................,19,0,0 0,6,13,100.0,0.0,0.0 0.0,31.6,68.4
Other.....................................,"55,747","5,269","4,004 19,615","13,709","13,150",100.0,9.5,7.2 35.2,24.6,23.6
