Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total............................................,"538,166","61,161","45,407 188,959","121,498","121,141",100.0,11.4,8.4 35.1,22.6,22.5
".","125,725","15,673","9,683 43,471","28,948","27,950",100.0,12.5,7.7 34.6,23.0,22.2
Violent offenses.......................,"1,956",185,309 898,281,283,100.0,9.5,15.8 45.9,14.4,14.5
Homicide...............................,"2,098",236,182 774,456,450,100.0,11.2,8.7 36.9,21.7,21.4
Forcible rape......................... .,"18,218","5,319","2,770 5,999","2,304","1,826",100.0,29.2,15.2 32.9,12.6,10.0
Robbery................................ .,"101,695","9,848","6,255 35,010","25,470","25,112",100.0,9.7,6.2 34.4,25.0,24.7
Assault..................................,"1,758",85,167 790,437,279,100.0,4.8,9.5 44.9,24.9,15.9
Kidnapping............................,"147,692","24,705","16,285 52,739","29,455","24,508",100.0,16.7,11.0 35.7,19.9,16.6
Property offenses.....................,"50,618","12,180","6,321 16,585","8,304","7,228",100.0,24.1,12.5 32.8,16.4,14.3
Burglary.................................,"52,511","5,395","4,800 18,530","12,077","11,709",100.0,10.3,9.1 35.3,23.0,22.3
Theft......................................,"30,717","5,899","4,014 12,110","5,610","3,084",100.0,19.2,13.1 39.4,18.3,10.0
Motor vehicle theft.................,,,,,,,,,,
"Forgery, checks, access .","12,379",468,"1,065 5,295","3,299","2,252",100.0,3.8,8.6 42.8,26.6,18.2
"","1,467",763,85 219,165,235,100.0,52.0,5.8 14.9,11.2,16.0
cards....................................,,,,,,,,,,
Arson.....................................,"159,944","6,088","10,388 55,809","41,461","46,198",100.0,3.8,6.5 34.9,25.9,28.9
Drug offenses...........................,"52,274","1,464","2,645 14,409","12,676","21,080",100.0,2.8,5.1 27.6,24.2,40.3
Narcotics............................... .,"13,075","1,817","1,842 5,704","2,085","1,627",100.0,13.9,14.1 43.6,15.9,12.4
Marijuana.............................. .,"92,972","2,765","5,828 35,156","26,237","22,986",100.0,3.0,6.3 37.8,28.2,24.7
Dangerous drugs..................,"1,623",42,73 540,463,505,100.0,2.6,4.5 33.3,28.5,31.1
Other..................................... .,"8,809","1,455","578 2,190","1,745","2,841",100.0,16.5,6.6 24.9,19.8,32.3
Sex offenses............................,"3,504",841,220 730,712,"1,001",100.0,24.0,6.3 20.8,20.3,28.6
Lewd or lascivious.................,"5,305",614,"358 1,460","1,033","1,840",100.0,11.6,6.7 27.5,19.5,34.7
Other..................................... .,"7,756",176,"575 3,086","1,707","2,212",100.0,2.3,7.4 39.8,22.0,28.5
Driving offenses....................... .,"6,030",67,"348 2,378","1,386","1,851",100.0,1.1,5.8 39.4,23.0,30.7
Driving under the influence...,"1,726",109,227 708,321,361,100.0,6.3,13.2 41.0,18.6,20.9
Hit-and-run............................,"88,240","13,064","7,898 31,664","18,182","17,432",100.0,14.8,9.0 35.9,20.6,19.8
All other....................................,"26,289","6,656","3,440 9,572","3,690","2,931",100.0,25.3,13.1 36.4,14.0,11.1
Weapons...............................,405,35,37 164,110,59,100.0,8.6,9.1 40.5,27.2,14.6
Escape.................................. .,7,1,0 1,1,4,100.0,14.3,0.0 14.3,14.3,57.1
Bookmaking..........................,"61,539","6,372","4,421 21,927","14,381","14,438",100.0,10.4,7.2 35.6,23.4,23.5
