Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19  20-29,30-39,over,Total,Under 18,18-19  20-29,30-39,over
otal...........................................,"273,542","11,332","11,385 90,952","87,331","72,542",100.0,4.1,4.2 33.2,31.9,26.5
Violent offenses.......................,"102,881","4,715","4,354 33,920","31,048","28,844",100.0,4.6,4.2 33.0,30.2,28.0
Homicide..............................,"1,597",79,149 671,368,330,100.0,4.9,9.3 42.0,23.0,20.7
Rape....................................,"2,067",154,93 597,539,684,100.0,7.5,4.5 28.9,26.1,33.1
Robbery................................,"13,696","1,966","1,239 4,933","3,400","2,158",100.0,14.4,9.0 36.0,24.8,15.8
Assault.................................,"83,932","2,487","2,793 27,156","26,210","25,286",100.0,3.0,3.3 32.4,31.2,30.1
Kidnapping...........................,"1,589",29,80 563,531,386,100.0,1.8,5.0 35.4,33.4,24.3
Property offenses....................,"63,789","2,972","2,420 22,026","22,422","13,949",100.0,4.7,3.8 34.5,35.2,21.9
Burglary................................,"18,670","1,163","870 6,544","6,301","3,792",100.0,6.2,4.7 35.1,33.7,20.3
Theft.....................................,"24,897",831,"867 8,490","8,884","5,825",100.0,3.3,3.5 34.1,35.7,23.4
Motor vehicle theft................,"16,059",898,"590 5,853","5,626","3,092",100.0,5.6,3.7 36.4,35.0,19.3
"Forgery, checks, access",,,,,,,,,,
cards...................................,"2,367",22,63 693,977,612,100.0,0.9,2.7 29.3,41.3,25.9
Arson....................................,"1,796",58,30 446,634,628,100.0,3.2,1.7 24.8,35.3,35.0
Drug offenses..........................,"25,771",317,"783 7,665","8,511","8,495",100.0,1.2,3.0 29.7,33.0,33.0
Narcotics..............................,"8,672",148,"339 3,115","2,811","2,259",100.0,1.7,3.9 35.9,32.4,26.0
Marijuana.............................,"1,027",43,71 347,281,285,100.0,4.2,6.9 33.8,27.4,27.8
Dangerous drugs..................,"15,042",124,"326 3,821","5,142","5,629",100.0,0.8,2.2 25.4,34.2,37.4
Other....................................,"1,030",2,47 382,277,322,100.0,0.2,4.6 37.1,26.9,31.3
Sex offenses...........................,"4,477",294,181 919,"1,113","1,970",100.0,6.6,4.0 20.5,24.9,44.0
Lewd or lascivious................,"1,597",173,66 256,441,661,100.0,10.8,4.1 16.0,27.6,41.4
Other....................................,"2,880",121,115 663,672,"1,309",100.0,4.2,4.0 23.0,23.3,45.5
Driving offenses.......................,"5,259",56,"242 2,107","1,385","1,469",100.0,1.1,4.6 40.1,26.3,27.9
Driving under the influence...,"4,245",30,"165 1,720","1,130","1,200",100.0,0.7,3.9 40.5,26.6,28.3
Hit-and-run...........................,"1,014",26,77 387,255,269,100.0,2.6,7.6 38.2,25.1,26.5
All other...................................,"71,365","2,978","3,405 24,315","22,852","17,815",100.0,4.2,4.8 34.1,32.0,25.0
Weapons..............................,"23,592","1,315","1,720 9,033","6,831","4,693",100.0,5.6,7.3 38.3,29.0,19.9
Escape.................................,212,3,8 73,84,44,100.0,1.4,3.8 34.4,39.6,20.8
Other....................................,"47,561","1,660","1,677 15,209","15,937","13,078",100.0,3.5,3.5 32.0,33.5,27.5
