Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total...........................................,"442,741","30,812","29,127 157,789","109,819","115,194",100.0,7.0,6.6 35.6,24.8,26.0
Violent offenses.......................,"103,123","8,303","6,793 36,755","24,968","26,304",100.0,8.1,6.6 35.6,24.2,25.5
Homicide..............................,"1,423",105,151 608,283,276,100.0,7.4,10.6 42.7,19.9,19.4
Forcible rape........................,"1,601",117,120 548,371,445,100.0,7.3,7.5 34.2,23.2,27.8
Robbery................................,"15,934","3,106","2,254 6,002","2,524","2,048",100.0,19.5,14.1 37.7,15.8,12.9
Assault.................................,"82,700","4,906","4,176 28,999","21,396","23,223",100.0,5.9,5.0 35.1,25.9,28.1
Kidnapping...........................,"1,465",69,92 598,394,312,100.0,4.7,6.3 40.8,26.9,21.3
Property offenses....................,"106,995","11,794","9,218 38,187","25,188","22,608",100.0,11.0,8.6 35.7,23.5,21.1
Burglary................................,"49,694","7,405","5,016 17,729","10,167","9,377",100.0,14.9,10.1 35.7,20.5,18.9
Theft.....................................,"36,339","2,537","2,509 12,565","9,366","9,362",100.0,7.0,6.9 34.6,25.8,25.8
Motor vehicle theft................,"13,750","1,463","1,330 5,309","3,490","2,158",100.0,10.6,9.7 38.6,25.4,15.7
"Forgery, checks, access",,,,,,,,,,
cards...................................,"6,261",101,"325 2,373","2,001","1,461",100.0,1.6,5.2 37.9,32.0,23.3
Arson....................................,951,288,38 211,164,250,100.0,30.3,4.0 22.2,17.2,26.3
Drug offenses..........................,"137,125","3,398","6,821 48,894","36,569","41,443",100.0,2.5,5.0 35.7,26.7,30.2
Narcotics..............................,"37,133",695,"1,838 15,021","8,583","10,996",100.0,1.9,4.9 40.5,23.1,29.6
Marijuana..............................,"13,779","1,556","1,596 5,876","2,548","2,203",100.0,11.3,11.6 42.6,18.5,16.0
Dangerous drugs..................,"85,035","1,126","3,322 27,535","25,134","27,918",100.0,1.3,3.9 32.4,29.6,32.8
Other....................................,"1,178",21,65 462,304,326,100.0,1.8,5.5 39.2,25.8,27.7
Sex offenses............................,"6,706",868,"396 1,773","1,326","2,343",100.0,12.9,5.9 26.4,19.8,34.9
Lewd or lascivious................,"2,405",424,123 519,495,844,100.0,17.6,5.1 21.6,20.6,35.1
Other....................................,"4,301",444,"273 1,254",831,"1,499",100.0,10.3,6.3 29.2,19.3,34.9
Driving offenses.......................,"5,951",64,"268 2,440","1,375","1,804",100.0,1.1,4.5 41.0,23.1,30.3
Driving under the influence...,"4,830",30,"180 1,979","1,131","1,510",100.0,0.6,3.7 41.0,23.4,31.3
Hit-and-run...........................,"1,121",34,88 461,244,294,100.0,3.0,7.9 41.1,21.8,26.2
All other...................................,"82,841","6,385","5,631 29,740","20,393","20,692",100.0,7.7,6.8 35.9,24.6,25.0
Weapons..............................,"19,855","2,801","2,016 7,605","4,189","3,244",100.0,14.1,10.2 38.3,21.1,16.3
Escape.................................,363,10,11 131,111,100,100.0,2.8,3.0 36.1,30.6,27.5
Other....................................,"62,623","3,574","3,604 22,004","16,093","17,348",100.0,5.7,5.8 35.1,25.7,27.7
