Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19  20-29,30-39,over,Total,Under 18,18-19  20-29,30-39,over
Total............................................,"306,024","19,373","16,327 109,735","85,088","75,501",100.0,6.3,5.3 35.9,27.8,24.7
Violent offenses........................,"111,478","7,291","6,134 39,285","29,890","28,878",100.0,6.5,5.5 35.2,26.8,25.9
Homicide...............................,"1,501",98,159 590,366,288,100.0,6.5,10.6 39.3,24.4,19.2
Rape......................................,"2,557",290,169 696,683,719,100.0,11.3,6.6 27.2,26.7,28.1
Robbery.................................,"17,000","2,963","2,126 6,437","3,242","2,232",100.0,17.4,12.5 37.9,19.1,13.1
Assault...................................,"88,693","3,858","3,564 30,908","25,090","25,273",100.0,4.3,4.0 34.8,28.3,28.5
Kidnapping............................,"1,727",82,116 654,509,366,100.0,4.7,6.7 37.9,29.5,21.2
Property offenses.....................,"77,223","6,236","4,691 29,333","22,256","14,707",100.0,8.1,6.1 38.0,28.8,19.0
Burglary.................................,"22,551","2,671","1,767 8,433","5,727","3,953",100.0,11.8,7.8 37.4,25.4,17.5
Theft......................................,"29,507","1,588","1,570 11,219","9,075","6,055",100.0,5.4,5.3 38.0,30.8,20.5
Motor vehicle theft.................,"19,216","1,722","1,175 7,762","5,388","3,169",100.0,9.0,6.1 40.4,28.0,16.5
"Forgery, checks, access",,,,,,,,,,
cards.....................................,"4,566",55,"139 1,580","1,683","1,109",100.0,1.2,3.0 34.6,36.9,24.3
Arson.....................................,"1,383",200,40 339,383,421,100.0,14.5,2.9 24.5,27.7,30.4
Drug offenses...........................,"29,955",676,"1,060 9,706","8,955","9,558",100.0,2.3,3.5 32.4,29.9,31.9
Narcotics...............................,"9,605",246,"379 3,721","2,546","2,713",100.0,2.6,3.9 38.7,26.5,28.2
Marijuana...............................,"2,086",179,207 815,474,411,100.0,8.6,9.9 39.1,22.7,19.7
Dangerous drugs...................,"17,107",240,"446 4,788","5,584","6,049",100.0,1.4,2.6 28.0,32.6,35.4
Other.....................................,"1,157",11,28 382,351,385,100.0,1.0,2.4 33.0,30.3,33.3
Sex offenses.............................,"5,519",623,"221 1,164","1,147","2,364",100.0,11.3,4.0 21.1,20.8,42.8
Lewd or lascivious.................,"2,045",309,96 362,462,816,100.0,15.1,4.7 17.7,22.6,39.9
Other.....................................,"3,474",314,125 802,685,"1,548",100.0,9.0,3.6 23.1,19.7,44.6
Driving offenses........................,"6,280",74,"284 2,593","1,527","1,802",100.0,1.2,4.5 41.3,24.3,28.7
Driving under the influence....,"4,964",34,"180 2,082","1,237","1,431",100.0,0.7,3.6 41.9,24.9,28.8
Hit-and-run............................,"1,316",40,104 511,290,371,100.0,3.0,7.9 38.8,22.0,28.2
All other....................................,"75,569","4,473","3,937 27,654","21,313","18,192",100.0,5.9,5.2 36.6,28.2,24.1
Weapons...............................,"22,371","1,810","1,718 8,802","5,763","4,278",100.0,8.1,7.7 39.3,25.8,19.1
Escape..................................,242,7,13 102,68,52,100.0,2.9,5.4 42.1,28.1,21.5
Other.....................................,"52,956","2,656","2,206 18,750","15,482","13,862",100.0,5.0,4.2 35.4,29.2,26.2
