Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total...........................................,"448,552","52,020","38,956 153,234","94,739","109,603",100.0,11.6,8.7 34.2,21.1,24.4
Violent offenses.......................,"116,137","13,200","9,693 40,473","24,859","27,912",100.0,11.4,8.3 34.8,21.4,24.0
Homicide..............................,"1,638",181,254 664,254,285,100.0,11.1,15.5 40.5,15.5,17.4
Forcible rape........................,"1,957",191,185 658,444,479,100.0,9.8,9.5 33.6,22.7,24.5
Robbery................................,"19,021","5,333","3,243 6,275","2,168","2,002",100.0,28.0,17.0 33.0,11.4,10.5
Assault..................................,"92,030","7,445","5,866 32,223","21,617","24,879",100.0,8.1,6.4 35.0,23.5,27.0
Kidnapping...........................,"1,491",50,145 653,376,267,100.0,3.4,9.7 43.8,25.2,17.9
Property offenses....................,"119,942","19,614","12,824 40,123","23,238","24,143",100.0,16.4,10.7 33.5,19.4,20.1
Burglary................................,"52,716","12,155","6,990 16,930","8,409","8,232",100.0,23.1,13.3 32.1,16.0,15.6
Theft.....................................,"45,459","4,542","3,708 15,124","9,963","12,122",100.0,10.0,8.2 33.3,21.9,26.7
Motor vehicle theft................,"13,091","2,287","1,562 4,767","2,623","1,852",100.0,17.5,11.9 36.4,20.0,14.1
"Forgery, checks, access",,,,,,,,,,
cards....................................,"7,685",208,"502 3,115","2,120","1,740",100.0,2.7,6.5 40.5,27.6,22.6
Arson....................................,991,422,62 187,123,197,100.0,42.6,6.3 18.9,12.4,19.9
Drug offenses..........................,"121,286","6,197","7,969 42,111","29,024","35,985",100.0,5.1,6.6 34.7,23.9,29.7
Narcotics..............................,"39,562","1,363","2,278 13,549","8,287","14,085",100.0,3.4,5.8 34.2,20.9,35.6
Marijuana..............................,"16,585","2,206","2,188 6,860","2,938","2,393",100.0,13.3,13.2 41.4,17.7,14.4
Dangerous drugs..................,"63,983","2,591","3,457 21,321","17,487","19,127",100.0,4.0,5.4 33.3,27.3,29.9
Other....................................,"1,156",37,46 381,312,380,100.0,3.2,4.0 33.0,27.0,32.9
Sex offenses............................,"7,862","1,184","520 1,907","1,526","2,725",100.0,15.1,6.6 24.3,19.4,34.7
Lewd or lascivious................,"2,986",587,182 565,682,970,100.0,19.7,6.1 18.9,22.8,32.5
Other....................................,"4,876",597,"338 1,342",844,"1,755",100.0,12.2,6.9 27.5,17.3,36.0
Driving offenses.......................,"6,117",104,"354 2,386","1,335","1,938",100.0,1.7,5.8 39.0,21.8,31.7
Driving under the influence...,"4,969",54,"257 1,922","1,105","1,631",100.0,1.1,5.2 38.7,22.2,32.8
Hit-and-run...........................,"1,148",50,97 464,230,307,100.0,4.4,8.4 40.4,20.0,26.7
All other...................................,"77,208","11,721","7,596 26,234","14,757","16,900",100.0,15.2,9.8 34.0,19.1,21.9
Weapons..............................,"23,216","5,000","3,088 8,173","3,640","3,315",100.0,21.5,13.3 35.2,15.7,14.3
Escape.................................,130,12,10 45,28,35,100.0,9.2,7.7 34.6,21.5,26.9
Other....................................,"53,862","6,709","4,498 18,016","11,089","13,550",100.0,12.5,8.4 33.4,20.6,25.2
