Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19  20-29,30-39,over,Total,Under 18,18-19  20-29,30-39,over
Total...........................................,"314,748","21,381","19,225 114,107","82,258","77,777",100.0,6.8,6.1 36.3,26.1,24.7
Violent offenses.......................,"109,756","7,341","6,523 39,227","27,998","28,667",100.0,6.7,5.9 35.7,25.5,26.1
Homicide..............................,"1,439",88,169 599,313,270,100.0,6.1,11.7 41.6,21.8,18.8
Rape.....................................,"2,467",250,153 774,594,696,100.0,10.1,6.2 31.4,24.1,28.2
Robbery................................,"15,903","2,597","2,017 6,149","2,990","2,150",100.0,16.3,12.7 38.7,18.8,13.5
Assault.................................,"88,348","4,329","4,092 31,042","23,640","25,245",100.0,4.9,4.6 35.1,26.8,28.6
Kidnapping...........................,"1,599",77,92 663,461,306,100.0,4.8,5.8 41.5,28.8,19.1
Property offenses....................,"73,970","6,685","5,556 28,156","19,664","13,909",100.0,9.0,7.5 38.1,26.6,18.8
Burglary................................,"24,101","3,506","2,313 8,746","5,416","4,120",100.0,14.5,9.6 36.3,22.5,17.1
Theft.....................................,"26,533","1,426","1,696 10,182","7,648","5,581",100.0,5.4,6.4 38.4,28.8,21.0
Motor vehicle theft................,"17,234","1,485","1,323 7,084","4,606","2,736",100.0,8.6,7.7 41.1,26.7,15.9
"Forgery, checks, access",,,,,,,,,,
cards...................................,"5,068",80,"179 1,898","1,756","1,155",100.0,1.6,3.5 37.5,34.6,22.8
Arson....................................,"1,034",188,45 246,238,317,100.0,18.2,4.4 23.8,23.0,30.7
Drug offenses..........................,"44,629","1,533","1,954 15,364","12,494","13,284",100.0,3.4,4.4 34.4,28.0,29.8
Narcotics..............................,"11,596",279,"431 4,448","2,939","3,499",100.0,2.4,3.7 38.4,25.3,30.2
Marijuana..............................,"8,866",879,"772 3,421","1,929","1,865",100.0,9.9,8.7 38.6,21.8,21.0
Dangerous drugs..................,"22,712",351,"707 6,909","7,238","7,507",100.0,1.5,3.1 30.4,31.9,33.1
Other....................................,"1,455",24,44 586,388,413,100.0,1.6,3.0 40.3,26.7,28.4
Sex offenses............................,"5,593",666,"231 1,246","1,199","2,251",100.0,11.9,4.1 22.3,21.4,40.2
Lewd or lascivious................,"2,304",370,93 440,548,853,100.0,16.1,4.0 19.1,23.8,37.0
Other....................................,"3,289",296,138 806,651,"1,398",100.0,9.0,4.2 24.5,19.8,42.5
Driving offenses.......................,"6,074",65,"309 2,461","1,456","1,783",100.0,1.1,5.1 40.5,24.0,29.4
Driving under the influence...,"4,927",29,"212 2,025","1,192","1,469",100.0,0.6,4.3 41.1,24.2,29.8
Hit-and-run...........................,"1,147",36,97 436,264,314,100.0,3.1,8.5 38.0,23.0,27.4
All other...................................,"74,726","5,091","4,652 27,653","19,447","17,883",100.0,6.8,6.2 37.0,26.0,23.9
Weapons..............................,"20,085","2,173","1,758 7,818","4,703","3,633",100.0,10.8,8.8 38.9,23.4,18.1
Escape.................................,263,13,12 117,72,49,100.0,4.9,4.6 44.5,27.4,18.6
Other....................................,"54,378","2,905","2,882 19,718","14,672","14,201",100.0,5.3,5.3 36.3,27.0,26.1
