Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total...........................................,"466,441","58,555","42,947 158,505","95,770","110,664",100.0,12.6,9.2 34.0,20.5,23.7
Violent offenses.......................,"123,762","15,387","10,881 43,305","25,548","28,641",100.0,12.4,8.8 35.0,20.6,23.1
Homicide..............................,"1,804",182,290 742,299,291,100.0,10.1,16.1 41.1,16.6,16.1
Forcible rape........................,"2,050",237,161 714,452,486,100.0,11.6,7.9 34.8,22.0,23.7
Robbery................................,"21,610","6,232","3,839 7,099","2,340","2,100",100.0,28.8,17.8 32.9,10.8,9.7
Assault.................................,"96,614","8,649","6,425 34,009","22,052","25,479",100.0,9.0,6.7 35.2,22.8,26.4
Kidnapping...........................,"1,684",87,166 741,405,285,100.0,5.2,9.9 44.0,24.0,16.9
Property offenses....................,"126,891","22,606","14,320 42,061","23,692","24,212",100.0,17.8,11.3 33.1,18.7,19.1
Burglary................................,"54,714","13,695","7,763 17,144","8,130","7,982",100.0,25.0,14.2 31.3,14.9,14.6
Theft.....................................,"47,971","5,194","4,078 16,070","10,274","12,355",100.0,10.8,8.5 33.5,21.4,25.8
Motor vehicle theft................,"14,245","2,948","1,745 4,994","2,702","1,856",100.0,20.7,12.2 35.1,19.0,13.0
"Forgery, checks, access",,,,,,,,,,
cards...................................,"8,863",243,"652 3,646","2,467","1,855",100.0,2.7,7.4 41.1,27.8,20.9
Arson....................................,"1,098",526,82 207,119,164,100.0,47.9,7.5 18.9,10.8,14.9
Drug offenses..........................,"118,684","5,573","8,227 40,853","28,194","35,837",100.0,4.7,6.9 34.4,23.8,30.2
Narcotics..............................,"43,956","1,503","2,535 13,654","9,448","16,816",100.0,3.4,5.8 31.1,21.5,38.3
Marijuana..............................,"17,008","2,104","2,446 7,259","2,951","2,248",100.0,12.4,14.4 42.7,17.4,13.2
Dangerous drugs..................,"56,384","1,938","3,163 19,484","15,476","16,323",100.0,3.4,5.6 34.6,27.4,28.9
Other....................................,"1,336",28,83 456,319,450,100.0,2.1,6.2 34.1,23.9,33.7
Sex offenses............................,"8,289","1,247","591 2,140","1,505","2,806",100.0,15.0,7.1 25.8,18.2,33.9
Lewd or lascivious................,"3,244",664,216 686,639,"1,039",100.0,20.5,6.7 21.1,19.7,32.0
Other....................................,"5,045",583,"375 1,454",866,"1,767",100.0,11.6,7.4 28.8,17.2,35.0
Driving offenses.......................,"6,872",120,"448 2,583","1,590","2,131",100.0,1.7,6.5 37.6,23.1,31.0
Driving under the influence...,"5,645",62,"306 2,094","1,334","1,849",100.0,1.1,5.4 37.1,23.6,32.8
Hit-and-run...........................,"1,227",58,142 489,256,282,100.0,4.7,11.6 39.9,20.9,23.0
All other...................................,"81,943","13,622","8,480 27,563","15,241","17,037",100.0,16.6,10.3 33.6,18.6,20.8
Weapons..............................,"23,908","5,426","3,223 8,318","3,622","3,319",100.0,22.7,13.5 34.8,15.1,13.9
Escape.................................,184,23,16 73,36,36,100.0,12.5,8.7 39.7,19.6,19.6
Other....................................,"57,851","8,173","5,241 19,172","11,583","13,682",100.0,14.1,9.1 33.1,20.0,23.7
