"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total..........................................,"825,455","84,333","55,857 277,747","159,241","248,277",100.0,10.2,6.8 33.6,19.3,30.1
Assault and battery.................,"83,308","15,536","5,326 26,005","15,977","20,464",100.0,18.6,6.4 31.2,19.2,24.6
Burglary..................................,774,251,79 234,96,114,100.0,32.4,10.2 30.2,12.4,14.7
Petty theft...............................,"68,947","19,235","8,292 18,662","9,093","13,665",100.0,27.9,12.0 27.1,13.2,19.8
Checks and access cards.......,454,54,25 166,107,102,100.0,11.9,5.5 36.6,23.6,22.5
Marijuana................................,"7,764","5,831",514 827,302,290,100.0,75.1,6.6 10.7,3.9,3.7
Other drug..............................,"69,152","1,770","3,494 22,842","17,550","23,496",100.0,2.6,5.1 33.0,25.4,34.0
Indecent exposure..................,"1,255",77,36 296,256,590,100.0,6.1,2.9 23.6,20.4,47.0
Annoying children...................,737,179,102 166,97,193,100.0,24.3,13.8 22.5,13.2,26.2
Obscene matter......................,119,49,9 17,18,26,100.0,41.2,7.6 14.3,15.1,21.8
Lewd conduct.........................,"1,791",111,135 552,347,646,100.0,6.2,7.5 30.8,19.4,36.1
Prostitution.............................,"10,265",286,"1,418 4,827","1,755","1,979",100.0,2.8,13.8 47.0,17.1,19.3
Drunk......................................,"99,950","2,974","5,708 32,838","18,914","39,516",100.0,3.0,5.7 32.9,18.9,39.5
Liquor laws.............................,"16,263","3,785","5,294 3,895",988,"2,301",100.0,23.3,32.6 24.0,6.1,14.1
Disturbing the peace...............,"11,287","6,954","540 1,779",810,"1,204",100.0,61.6,4.8 15.8,7.2,10.7
Vandalism..............................,"12,429","5,889","1,274 2,828","1,075","1,363",100.0,47.4,10.3 22.8,8.6,11.0
Trespassing............................,"14,847","2,501","1,218 3,708","2,340","5,080",100.0,16.8,8.2 25.0,15.8,34.2
Weapons................................,"5,450","1,500","682 1,764",721,783,100.0,27.5,12.5 32.4,13.2,14.4
Driving under the influence.....,"177,981",863,"7,131 78,370","41,211","50,406",100.0,0.5,4.0 44.0,23.2,28.3
Hit-and-run.............................,"5,303",285,"541 2,007","1,014","1,456",100.0,5.4,10.2 37.8,19.1,27.5
Selected traffic violations........,"16,464",224,"1,169 7,150","3,764","4,157",100.0,1.4,7.1 43.4,22.9,25.2
Gambling................................,585,20,22 128,151,264,100.0,3.4,3.8 21.9,25.8,45.1
All other..................................,"220,330","15,959","12,848 68,686","42,655","80,182",100.0,7.2,5.8 31.2,19.4,36.4
