"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total........................................,"784,229","30,046","27,849 259,705","208,153","258,476",100.0,3.8,3.6 33.1,26.5,33.0
Assault and battery..............,"80,700","8,555","3,202 26,156","20,183","22,604",100.0,10.6,4.0 32.4,25.0,28.0
Burglary...............................,"15,687","1,407","1,008 5,590","3,632","4,050",100.0,9.0,6.4 35.6,23.2,25.8
Petty theft.............................,"34,831","4,040","2,200 10,859","8,248","9,484",100.0,11.6,6.3 31.2,23.7,27.2
Checks and access cards....,"1,115",42,57 408,359,249,100.0,3.8,5.1 36.6,32.2,22.3
Marijuana.............................,"3,979","1,785",422 856,488,428,100.0,44.9,10.6 21.5,12.3,10.8
Other drug............................,"179,670","1,406","4,110 60,096","56,664","57,394",100.0,0.8,2.3 33.4,31.5,31.9
Indecent exposure...............,"1,497",42,33 397,408,617,100.0,2.8,2.2 26.5,27.3,41.2
Annoying children................,511,83,42 157,96,133,100.0,16.2,8.2 30.7,18.8,26.0
Obscene matter...................,130,83,0 18,12,17,100.0,63.8,0.0 13.8,9.2,13.1
Lewd conduct.......................,"1,230",113,71 394,277,375,100.0,9.2,5.8 32.0,22.5,30.5
Prostitution...........................,"6,765",14,"753 3,498","1,236","1,264",100.0,0.2,11.1 51.7,18.3,18.7
Drunk...................................,"63,752",705,"1,937 19,400","15,516","26,194",100.0,1.1,3.0 30.4,24.3,41.1
Liquor laws...........................,"7,208","1,140","1,867 1,962",590,"1,649",100.0,15.8,25.9 27.2,8.2,22.9
Disturbing the peace............,"3,562","1,198",136 791,515,922,100.0,33.6,3.8 22.2,14.5,25.9
Vandalism............................,"9,127","1,655","615 3,134","1,926","1,797",100.0,18.1,6.7 34.3,21.1,19.7
Trespassing.........................,"26,259",988,"830 7,099","7,021","10,321",100.0,3.8,3.2 27.0,26.7,39.3
Weapons..............................,"6,217","1,276","451 2,119","1,203","1,168",100.0,20.5,7.3 34.1,19.4,18.8
Driving under the influence..,"119,354",427,"3,495 50,501","30,227","34,704",100.0,0.4,2.9 42.3,25.3,29.1
Hit-and-run...........................,"5,713",212,"440 2,203","1,158","1,700",100.0,3.7,7.7 38.6,20.3,29.8
Selected traffic violations.....,"8,015",294,"933 3,580","1,643","1,565",100.0,3.7,11.6 44.7,20.5,19.5
Gambling.............................,282,11,15 67,55,134,100.0,3.9,5.3 23.8,19.5,47.5
All other................................,"208,625","4,570","5,232 60,420","56,696","81,707",100.0,2.2,2.5 29.0,27.2,39.2
