"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total............................................,"939,046","126,620","71,584 305,338","186,298","249,206",100.0,13.5,7.6 32.5,19.8,26.5
".","87,001","21,952","5,458 24,639","16,598","18,354",100.0,25.2,6.3 28.3,19.1,21.1
Assault and battery.................,654,340,52 155,55,52,100.0,52.0,8.0 23.7,8.4,8.0
Burglary...................................,"64,349","23,496","6,881 15,038","8,323","10,611",100.0,36.5,10.7 23.4,12.9,16.5
Petty theft................................ .,808,98,86 319,155,150,100.0,12.1,10.6 39.5,19.2,18.6
Checks and access cards....... .,"47,380","12,369","7,827 17,578","5,119","4,487",100.0,26.1,16.5 37.1,10.8,9.5
Marijuana................................,,,,,,,,,,
"","99,921","3,421","7,267 35,234","25,969","28,030",100.0,3.4,7.3 35.3,26.0,28.1
Other drug...............................,"1,541",138,55 376,369,603,100.0,9.0,3.6 24.4,23.9,39.1
Indecent exposure...................,887,260,99 193,127,208,100.0,29.3,11.2 21.8,14.3,23.4
Annoying children....................,81,14,3 12,16,36,100.0,17.3,3.7 14.8,19.8,44.4
Obscene matter.......................,"4,093",343,"404 1,142",894,"1,310",100.0,8.4,9.9 27.9,21.8,32.0
Lewd conduct..........................,,,,,,,,,,
".","13,430",537,"1,789 5,005","2,900","3,199",100.0,4.0,13.3 37.3,21.6,23.8
Prostitution..............................,"96,801","3,587","5,402 29,219","20,024","38,569",100.0,3.7,5.6 30.2,20.7,39.8
Drunk.......................................,"21,554","4,393","5,897 4,968","1,831","4,465",100.0,20.4,27.4 23.0,8.5,20.7
Liquor laws..............................,"17,342","12,688","725 1,957",848,"1,124",100.0,73.2,4.2 11.3,4.9,6.5
Disturbing the peace................,"16,987","9,790","1,533 2,928","1,329","1,407",100.0,57.6,9.0 17.2,7.8,8.3
Malicious mischief...................,,,,,,,,,,
"","17,574","3,088","1,394 4,118","3,195","5,779",100.0,17.6,7.9 23.4,18.2,32.9
Trespassing.............................,"6,374","2,333","801 1,895",660,685,100.0,36.6,12.6 29.7,10.4,10.7
Weapons................................. .,"176,384","1,380","8,342 75,738","42,326","48,598",100.0,0.8,4.7 42.9,24.0,27.6
Driving under the influence.....,"7,237",615,"906 2,747","1,282","1,687",100.0,8.5,12.5 38.0,17.7,23.3
Hit-and-run............................... .,"24,061",869,"2,847 10,760","4,854","4,731",100.0,3.6,11.8 44.7,20.2,19.7
Selected traffic violations........,,,,,,,,,,
"",665,96,70 138,103,258,100.0,14.4,10.5 20.8,15.5,38.8
Gambling.................................,"233,922","24,813","13,746 71,179","49,321","74,863",100.0,10.6,5.9 30.4,21.1,32.0
All other...................................,,,,,,,,,,
