"",,,Number,,,,,Percent,,
"",,,,,40 and,,,,,40 and
Offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total...........................................,"931,782","130,222","72,204 292,772","197,540","239,044",100.0,14.0,7.7 31.4,21.2,25.7
Assault and battery..................,"86,413","22,396","5,299 23,883","17,426","17,409",100.0,25.9,6.1 27.6,20.2,20.1
Burglary...................................,493,287,34 99,42,31,100.0,58.2,6.9 20.1,8.5,6.3
Petty theft................................,"69,837","26,152","7,463 16,037","9,405","10,780",100.0,37.4,10.7 23.0,13.5,15.4
Checks and access cards.......,762,104,56 297,179,126,100.0,13.6,7.3 39.0,23.5,16.5
Marijuana................................,"48,181","13,051","7,890 17,348","5,623","4,269",100.0,27.1,16.4 36.0,11.7,8.9
Other drug...............................,"86,374","3,362","6,511 28,296","24,989","23,216",100.0,3.9,7.5 32.8,28.9,26.9
Indecent exposure...................,"1,555",168,54 355,385,593,100.0,10.8,3.5 22.8,24.8,38.1
Annoying children....................,922,268,98 229,142,185,100.0,29.1,10.6 24.8,15.4,20.1
Obscene matter......................,55,4,3 13,15,20,100.0,7.3,5.5 23.6,27.3,36.4
Lewd conduct..........................,"3,717",393,"329 1,047",860,"1,088",100.0,10.6,8.9 28.2,23.1,29.3
Prostitution..............................,"13,418",393,"1,332 4,546","3,696","3,451",100.0,2.9,9.9 33.9,27.5,25.7
Drunk.......................................,"98,613","3,760","5,123 27,611","22,673","39,446",100.0,3.8,5.2 28.0,23.0,40.0
Liquor laws..............................,"30,396","5,048","7,807 7,361","3,359","6,821",100.0,16.6,25.7 24.2,11.1,22.4
Disturbing the peace...............,"17,396","12,233","855 2,097","1,000","1,211",100.0,70.3,4.9 12.1,5.7,7.0
Malicious mischief...................,"16,373","9,677","1,412 2,821","1,290","1,173",100.0,59.1,8.6 17.2,7.9,7.2
Trespassing.............................,"18,104","3,330","1,746 4,153","3,329","5,546",100.0,18.4,9.6 22.9,18.4,30.6
Weapons.................................,"5,384","1,954","611 1,665",539,615,100.0,36.3,11.3 30.9,10.0,11.4
Driving under the influence.....,"180,074","1,513","8,265 73,825","45,899","50,572",100.0,0.8,4.6 41.0,25.5,28.1
Hit-and-run..............................,"7,315",664,"804 2,757","1,421","1,669",100.0,9.1,11.0 37.7,19.4,22.8
Selected traffic violations........,"25,174","1,144","3,113 10,898","5,328","4,691",100.0,4.5,12.4 43.3,21.2,18.6
Gambling.................................,566,85,43 110,114,214,100.0,15.0,7.6 19.4,20.1,37.8
All other...................................,"220,660","24,236","13,356 67,324","49,826","65,918",100.0,11.0,6.1 30.5,22.6,29.9
