"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total..........................................,"762,006","48,291","39,753 258,684","169,495","245,783",100.0,6.3,5.2 33.9,22.2,32.3
Assault and battery.................,"78,122","10,343","4,207 25,514","17,316","20,742",100.0,13.2,5.4 32.7,22.2,26.6
Burglary..................................,"3,441",393,"321 1,251",727,749,100.0,11.4,9.3 36.4,21.1,21.8
Petty theft...............................,"58,569","9,808","5,464 17,965","10,721","14,611",100.0,16.7,9.3 30.7,18.3,24.9
Checks and access cards.......,485,17,25 194,139,110,100.0,3.5,5.2 40.0,28.7,22.7
Marijuana................................,"6,411","4,168",522 977,394,350,100.0,65.0,8.1 15.2,6.1,5.5
Other drug..............................,"86,058","1,270","3,603 30,197","23,990","26,998",100.0,1.5,4.2 35.1,27.9,31.4
Indecent exposure..................,"1,332",44,33 337,296,622,100.0,3.3,2.5 25.3,22.2,46.7
Annoying children...................,605,130,68 143,98,166,100.0,21.5,11.2 23.6,16.2,27.4
Obscene matter......................,134,74,5 22,12,21,100.0,55.2,3.7 16.4,9.0,15.7
Lewd conduct.........................,"1,473",106,96 452,300,519,100.0,7.2,6.5 30.7,20.4,35.2
Prostitution.............................,"8,822",174,"1,032 4,314","1,594","1,708",100.0,2.0,11.7 48.9,18.1,19.4
Drunk......................................,"90,061","1,552","3,863 28,112","19,509","37,025",100.0,1.7,4.3 31.2,21.7,41.1
Liquor laws.............................,"15,833","2,190","3,616 4,447","1,432","4,148",100.0,13.8,22.8 28.1,9.0,26.2
Disturbing the peace...............,"6,330","2,978","310 1,408",653,981,100.0,47.0,4.9 22.2,10.3,15.5
Vandalism..............................,"9,554","2,788","841 2,856","1,501","1,568",100.0,29.2,8.8 29.9,15.7,16.4
Trespassing............................,"17,697","1,296","1,056 4,736","3,727","6,882",100.0,7.3,6.0 26.8,21.1,38.9
Weapons................................,"5,316","1,279","511 1,793",884,849,100.0,24.1,9.6 33.7,16.6,16.0
Driving under the influence.....,"151,416",496,"4,794 65,603","36,794","43,729",100.0,0.3,3.2 43.3,24.3,28.9
Hit-and-run.............................,"5,314",224,"475 2,120","1,006","1,489",100.0,4.2,8.9 39.9,18.9,28.0
Selected traffic violations........,"12,837",262,"1,024 5,370","2,865","3,316",100.0,2.0,8.0 41.8,22.3,25.8
Gambling................................,285,15,7 50,41,172,100.0,5.3,2.5 17.5,14.4,60.4
All other..................................,"201,911","8,684","7,880 60,823","45,496","79,028",100.0,4.3,3.9 30.1,22.5,39.1
