"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total...........................................,"1,010,038","130,142","81,726 335,409","187,780","274,981",100.0,12.9,8.1 33.2,18.6,27.2
Assault and battery..................,"93,794","21,535","6,485 27,905","17,017","20,852",100.0,23.0,6.9 29.8,18.1,22.2
Burglary...................................,735,395,67 153,62,58,100.0,53.7,9.1 20.8,8.4,7.9
Petty theft................................,"67,664","25,324","9,018 15,524","7,288","10,510",100.0,37.4,13.3 22.9,10.8,15.5
Checks and access cards.......,664,80,60 248,135,141,100.0,12.0,9.0 37.3,20.3,21.2
Marijuana.................................,"61,388","14,313","11,631 23,612","6,367","5,465",100.0,23.3,18.9 38.5,10.4,8.9
Other drug...............................,"79,858","2,020","4,241 25,346","20,150","28,101",100.0,2.5,5.3 31.7,25.2,35.2
Indecent exposure...................,"1,403",112,41 317,292,641,100.0,8.0,2.9 22.6,20.8,45.7
Annoying children....................,805,226,100 189,96,194,100.0,28.1,12.4 23.5,11.9,24.1
Obscene matter.......................,105,31,9 18,12,35,100.0,29.5,8.6 17.1,11.4,33.3
Lewd conduct..........................,"3,318",269,286 971,625,"1,167",100.0,8.1,8.6 29.3,18.8,35.2
Prostitution..............................,"12,938",455,"1,831 5,319","2,373","2,960",100.0,3.5,14.2 41.1,18.3,22.9
Drunk.......................................,"122,802","4,293","7,682 39,996","23,936","46,895",100.0,3.5,6.3 32.6,19.5,38.2
Liquor laws..............................,"19,927","5,271","6,694 4,657","1,090","2,215",100.0,26.5,33.6 23.4,5.5,11.1
Disturbing the peace...............,"15,424","10,997","708 1,885",777,"1,057",100.0,71.3,4.6 12.2,5.0,6.9
Vandalism................................,"17,878","10,849","1,792 2,952","1,077","1,208",100.0,60.7,10.0 16.5,6.0,6.8
Trespassing.............................,"16,261","3,785","1,635 3,450","2,338","5,053",100.0,23.3,10.1 21.2,14.4,31.1
Weapons.................................,"6,201","1,924","851 1,985",692,749,100.0,31.0,13.7 32.0,11.2,12.1
Driving under the influence.....,"211,163","1,426","10,034 92,434","49,233","58,036",100.0,0.7,4.8 43.8,23.3,27.5
Hit-and-run..............................,"6,657",456,"794 2,518","1,177","1,712",100.0,6.8,11.9 37.8,17.7,25.7
Selected traffic violations........,"22,230",550,"2,058 10,061","4,710","4,851",100.0,2.5,9.3 45.3,21.2,21.8
Gambling.................................,599,33,31 110,136,289,100.0,5.5,5.2 18.4,22.7,48.2
All other...................................,"248,224","25,798","15,678 75,759","48,197","82,792",100.0,10.4,6.3 30.5,19.4,33.4
