"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total..........................................,"918,279","106,253","71,575 310,211","171,008","259,232",100.0,11.6,7.8 33.8,18.6,28.2
Assault and battery.................,"88,037","17,425","5,946 27,270","16,633","20,763",100.0,19.8,6.8 31.0,18.9,23.6
Burglary..................................,836,301,104 235,109,87,100.0,36.0,12.4 28.1,13.0,10.4
Petty theft...............................,"66,093","21,622","8,932 16,887","7,500","11,152",100.0,32.7,13.5 25.6,11.3,16.9
Checks and access cards.......,485,56,43 189,94,103,100.0,11.5,8.9 39.0,19.4,21.2
Marijuana................................,"54,849","14,991","9,587 19,989","5,389","4,893",100.0,27.3,17.5 36.4,9.8,8.9
Other drug..............................,"74,333","2,106","4,043 24,007","18,996","25,181",100.0,2.8,5.4 32.3,25.6,33.9
Indecent exposure..................,"1,313",87,42 306,245,633,100.0,6.6,3.2 23.3,18.7,48.2
Annoying children...................,773,190,104 194,106,179,100.0,24.6,13.5 25.1,13.7,23.2
Obscene matter......................,110,39,3 21,15,32,100.0,35.5,2.7 19.1,13.6,29.1
Lewd conduct.........................,"1,993",178,146 581,389,699,100.0,8.9,7.3 29.2,19.5,35.1
Prostitution.............................,"12,030",360,"1,613 5,376","2,109","2,572",100.0,3.0,13.4 44.7,17.5,21.4
Drunk......................................,"107,714","3,619","6,620 34,618","20,080","42,777",100.0,3.4,6.1 32.1,18.6,39.7
Liquor laws.............................,"17,282","4,343","5,757 4,103","1,026","2,053",100.0,25.1,33.3 23.7,5.9,11.9
Disturbing the peace...............,"12,576","8,334","557 1,716",762,"1,207",100.0,66.3,4.4 13.6,6.1,9.6
Vandalism..............................,"13,724","7,079","1,481 2,775","1,097","1,292",100.0,51.6,10.8 20.2,8.0,9.4
Trespassing............................,"15,297","3,048","1,290 3,380","2,290","5,289",100.0,19.9,8.4 22.1,15.0,34.6
Weapons................................,"5,800","1,619","769 1,916",712,784,100.0,27.9,13.3 33.0,12.3,13.5
Driving under the influence.....,"193,280","1,033","8,332 84,131","44,600","55,184",100.0,0.5,4.3 43.5,23.1,28.6
Hit-and-run.............................,"5,834",353,"601 2,263","1,012","1,605",100.0,6.1,10.3 38.8,17.3,27.5
Selected traffic violations........,"18,344",293,"1,474 8,081","3,954","4,542",100.0,1.6,8.0 44.1,21.6,24.8
Gambling................................,512,27,22 121,107,235,100.0,5.3,4.3 23.6,20.9,45.9
All other..................................,"227,064","19,150","14,109 72,052","43,783","77,970",100.0,8.4,6.2 31.7,19.3,34.3
