"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total..........................................,"970,221","115,951","79,023 327,292","180,359","267,596",100.0,12.0,8.1 33.7,18.6,27.6
Assault and battery.................,"91,932","19,196","6,494 28,109","17,051","21,082",100.0,20.9,7.1 30.6,18.5,22.9
Burglary..................................,785,307,76 222,95,85,100.0,39.1,9.7 28.3,12.1,10.8
Petty theft...............................,"68,046","23,496","9,555 16,863","7,426","10,706",100.0,34.5,14.0 24.8,10.9,15.7
Checks and access cards.......,599,66,32 214,151,136,100.0,11.0,5.3 35.7,25.2,22.7
Marijuana................................,"61,164","14,585","11,300 23,738","6,136","5,405",100.0,23.8,18.5 38.8,10.0,8.8
Other drug..............................,"73,454","1,893","3,945 23,194","18,641","25,781",100.0,2.6,5.4 31.6,25.4,35.1
Indecent exposure..................,"1,383",93,39 334,309,608,100.0,6.7,2.8 24.2,22.3,44.0
Annoying children...................,777,194,114 186,106,177,100.0,25.0,14.7 23.9,13.6,22.8
Obscene matter......................,106,47,3 12,16,28,100.0,44.3,2.8 11.3,15.1,26.4
Lewd conduct.........................,"3,139",214,"305 1,020",582,"1,018",100.0,6.8,9.7 32.5,18.5,32.4
Prostitution.............................,"12,476",407,"1,635 5,159","2,374","2,901",100.0,3.3,13.1 41.4,19.0,23.3
Drunk......................................,"116,199","3,793","7,494 37,817","22,111","44,984",100.0,3.3,6.4 32.5,19.0,38.7
Liquor laws.............................,"18,056","4,476","6,318 4,213",998,"2,051",100.0,24.8,35.0 23.3,5.5,11.4
Disturbing the peace...............,"13,751","9,322","662 1,782",785,"1,200",100.0,67.8,4.8 13.0,5.7,8.7
Vandalism..............................,"15,657","8,935","1,619 2,814","1,018","1,271",100.0,57.1,10.3 18.0,6.5,8.1
Trespassing............................,"15,459","3,323","1,499 3,404","2,195","5,038",100.0,21.5,9.7 22.0,14.2,32.6
Weapons................................,"5,771","1,577","836 1,954",658,746,100.0,27.3,14.5 33.9,11.4,12.9
Driving under the influence.....,"205,081","1,202","9,278 89,007","47,703","57,891",100.0,0.6,4.5 43.4,23.3,28.2
Hit-and-run.............................,"6,246",447,"725 2,386","1,128","1,560",100.0,7.2,11.6 38.2,18.1,25.0
Selected traffic violations........,"20,556",452,"1,823 9,198","4,489","4,594",100.0,2.2,8.9 44.7,21.8,22.3
Gambling................................,650,43,38 133,135,301,100.0,6.6,5.8 20.5,20.8,46.3
All other..................................,"238,934","21,883","15,233 75,533","46,252","80,033",100.0,9.2,6.4 31.6,19.4,33.5
